"TIME","GEO","INDIC_ET","SITC06","PARTNER","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2010","European Union - 27 countries (from 2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2010","European Union - 28 countries (2013-2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2010","European Union - 28 countries (2013-2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2010","Belgium","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.0",""
"2010","Belgium","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.1",""
"2010","Bulgaria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2010","Bulgaria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2010","Czechia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.6",""
"2010","Czechia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2010","Denmark","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2010","Denmark","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2010","Germany (until 1990 former territory of the FRG)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","19.1",""
"2010","Germany (until 1990 former territory of the FRG)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","27.8",""
"2010","Estonia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Estonia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2010","Ireland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2010","Ireland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.8",""
"2010","Greece","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.5",""
"2010","Greece","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.7",""
"2010","Spain","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.6",""
"2010","Spain","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","4.4",""
